read,title,author,tags,rating,date
1,the breaker tome 2,jeon,manga,,
1,the breaker tome 3,jeon,manga,,
1,the breaker tome 4,jeon,manga,,
1,the breaker tome 5,jeon,manga,,
0,the breaker tome 6,jeon,manga,,
0,the breaker tome 7,jeon,manga,,
0,the breaker tome 8,jeon,manga,,
0,the breaker tome 9,jeon,manga,,
0,the breaker tome 10,jeon,manga,,
1,innocent tome 1,sakamoto,manga,,
1,innocent tome 2,sakamoto,manga,,
1,aijin tome 1,sakurai,manga,,
1,aijin tome 2,sakurai,manga,,
1,l'attaque des titans tome 1,isayama,manga,,
1,vagabond tome 1,inoue,manga,,
1,kingdom tome 1,hara,manga,,
1,kingdom tome 2,hara,manga,,
1,kingdom tome 3,hara,manga,,
1,kingdom tome 4,hara,manga,,
1,kingdom tome 5,hara,manga,,
1,kingdom tome 6,hara,manga,,
1,kingdom tome 7,hara,manga,,
1,kingdom tome 8,hara,manga,,
1,kingdom tome 9,hara,manga,,
1,kingdom tome 10,hara,manga,,
1,kingdom tome 11,hara,manga,,
1,kingdom tome 12,hara,manga,,
1,kingdom tome 13,hara,manga,,
1,kingdom tome 14,hara,manga,,
1,kingdom tome 15,hara,manga,,
1,kingdom tome 16,hara,manga,,
1,kingdom tome 17,hara,manga,,
1,kingdom tome 18,hara,manga,,
1,kingdom tome 19,hara,manga,,
1,kingdom tome 20,hara,manga,,
1,kingdom tome 21,hara,manga,,
1,kingdom tome 22,hara,manga,,
1,kingdom tome 23,hara,manga,,
1,kingdom tome 24,hara,manga,,
1,kingdom tome 25,hara,manga,,
1,kingdom tome 26,hara,manga,,
1,kingdom tome 27,hara,manga,,
1,kingdom tome 28,hara,manga,,
1,kingdom tome 29,hara,manga,,
1,kingdom tome 30,hara,manga,,
1,kingdom tome 31,hara,manga,,
1,kingdom tome 32,hara,manga,,
1,kingdom tome 33,hara,manga,,
1,kingdom tome 34,hara,manga,,
1,un certain cervantes,lax,bd,,
1,saga tome 1,vaughn,comics,,
1,scalped tome 1,aaron,comics,,
1,transmetropolitan,ellis,comics,,
1,V pour vendetta,moore,comics,,
1,sandman tome 1,gaiman,comics,,
1,logicomix,doxiadis,bd,,
1,economix,goodwin,bd,,
1,walking dead tome 1,kirkman,comics,,
1,l'arabe du futur tome 1,sattouf,bd,,
1,descender tome 1,lemire,comics,,
1,batman le chevalier noir tome 1,jenkins,comics,,
1,l'empereur meiji,mariolle,bd,,
1,la venin tome 1,astier,bd,,
1,l'empereur de paris,besnard,bd,,
1,blacksad tome 1,canales,bd,,
1,tintin l'ile noire,hergé,bd,,
1,pascal brutal,sattouf,bd,,
1,largo winch tome 1,van hamme,bd,,
1,léonard tome 41,groot,bd,,
1,le réducteur de vitesse,blain,bd,,
1,isaac le pirate tome 1,blain,bd,,
1,le chat du rabbin tome 1,sfar,bd,,
1,socrate le demi chien tome 1,sfar,bd,,
1,socrate le demi chien tome 2,sfar,bd,,
1,socrate le demi chien tome 3,sfar,bd,,
1,gus tome 1,blain,bd,,
1,gus tome 2,blain,bd,,
1,gus tome 3,blain,bd,,
1,gus tome 4,blain,bd,,
1,quai d'orsay tome 1,blain,bd,,
1,quai d'orsay tome 2,blain,bd,,
1,en cuisine avec alain passard,blain,bd,,
1,50 nuances de grecs,jul,bd,,
1,barakamon tome 1,yoshino,manga,,
1,barakamon tome 2,yoshino,manga,,
1,barakamon tome 3,yoshino,manga,,
1,barakamon tome 4,yoshino,manga,,
1,barakamon tome 5,yoshino,manga,,
1,barakamon tome 6,yoshino,manga,,
1,barakamon tome 7,yoshino,manga,,
1,barakamon tome 8,yoshino,manga,,
1,barakamon tome 9,yoshino,manga,,
1,barakamon tome 10,yoshino,manga,,
1,barakamon tome 11,yoshino,manga,,
1,barakamon tome 12,yoshino,manga,,
1,barakamon tome 13,yoshino,manga,,
1,barakamon tome 14,yoshino,manga,,
1,barakamon tome 15,yoshino,manga,,
1,barakamon tome 16,yoshino,manga,,
1,barakamon tome 17,yoshino,manga,,
1,barakamon tome 18,yoshino,manga,,
1,ki-itchi tome 1,arai,manga,,
1,ki-itchi tome 2,arai,manga,,
1,ki-itchi tome 3,arai,manga,,
1,ki-itchi tome 4,arai,manga,,
1,ki-itchi tome 5,arai,manga,,
1,ki-itchi tome 6,arai,manga,,
1,ki-itchi tome 7,arai,manga,,
1,ki-itchi tome 8,arai,manga,,
1,ki-itchi tome 9,arai,manga,,
1,ki-itchi vs tome 1,arai,manga,,
1,ki-itchi vs tome 2,arai,manga,,
1,ki-itchi vs tome 3,arai,manga,,
1,ki-itchi vs tome 4,arai,manga,,
1,ki-itchi vs tome 5,arai,manga,,
1,black lagoon tome 1,hiroe,manga,,
1,black lagoon tome 2,hiroe,manga,,
1,black lagoon tome 3,hiroe,manga,,
1,black lagoon tome 4,hiroe,manga,,
1,black lagoon tome 5,hiroe,manga,,
1,black lagoon tome 6,hiroe,manga,,
1,black lagoon tome 7,hiroe,manga,,
1,black lagoon tome 8,hiroe,manga,,
1,black lagoon tome 9,hiroe,manga,,
1,battle royale tome 1,takami,manga,,
1,battle royale tome 2,takami,manga,,
1,battle royale tome 3,takami,manga,,
1,battle royale tome 4,takami,manga,,
1,battle royale tome 5,takami,manga,,
1,battle royale tome 6,takami,manga,,
1,battle royale tome 7,takami,manga,,
1,battle royale tome 8,takami,manga,,
1,battle royale tome 9,takami,manga,,
1,battle royale tome 10,takami,manga,,
1,battle royale tome 11,takami,manga,,
1,battle royale tome 12,takami,manga,,
1,battle royale tome 13,takami,manga,,
1,battle royale tome 14,takami,manga,,
1,battle royale tome 15,takami,manga,,
1,beelzebub tome 1,tamura,manga,,
1,beelzebub tome 2,tamura,manga,,
1,beelzebub tome 3,tamura,manga,,
1,beelzebub tome 4,tamura,manga,,
1,mpd psycho tome 1,tajima,manga,,
1,mpd psycho tome 2,tajima,manga,,
1,mpd psycho tome 3,tajima,manga,,
1,mpd psycho tome 4,tajima,manga,,
1,mpd psycho tome 5,tajima,manga,,
1,mpd psycho tome 6,tajima,manga,,
1,mpd psycho tome 7,tajima,manga,,
1,mpd psycho tome 8,tajima,manga,,
1,mpd psycho tome 9,tajima,manga,,
1,mpd psycho tome 10,tajima,manga,,
1,mpd psycho tome 11,tajima,manga,,
1,mpd psycho tome 12,tajima,manga,,
1,mpd psycho tome 13,tajima,manga,,
